Q75E28 26474065 461 553
Q75E28 26474065 606 694
D0PV95 26015579 1 168
Q7ZXV8 26388440 93 452
P35637 29961577 1 526
Q06787 30765518 445 632
Q92804 26286827 1 180
Q92804 26286827 181 216
Q92804 26286827 234 320
Q13148 29555476 1 102
Q13148 29555476 263 414
Q8SWR8 29772202 351 750
Q8SWR8 29772202 900 1084
Q01844 26286827 1 285
Q01844 26286827 286 360
Q01844 26286827 361 447
P09651 26406374 186 372
P22626-2 26544936 1 341
P31483 29298433 1 386
O60500 26553976 1077 1241
O00401 26553976 277 392
P16333 26553976 1 377
Q9NQI0 25747659 1 236
O00571 30531905 1 168
P52948 25562883 1 500
P14907 20304795 2 601
Q02629 25562883 1 959
P15502 24727034 27 786
G5EBV6 21402787 160 320
G5EBV6 21402787 633 693
Q9TXM1 27914198 1 544
P32588 29898402 1 453
P39936 26412307 13 97
Q96PK6 26283796 350 669
P45973 28636604 1 177
P05205 28636597 1 206
P04147 28283059 38 400
P04147 28283059 419 502
Q22053 27212236 1 352
P06748 26836305 1 294
P91349 25977552 1 1198
Q9UHD9 29526694 450 624
D8V196 27802129 1 409
Q16082 28854361 147 182
P10636-8 28819146 244 368
Q9UPQ9 29576456 437 1056
J3QQ18 27565345 1147 1308
P17931 28893908 20 100
Q7YU08 29358748 1 865
Q13501 29507397 3 102
Q13501 29507397 389 440
O43561 27056844 28 262
P62993 27056844 1 217
Q07889 27056844 1117 1319
Q15233 29932899 218 272
P23246 29932899 1 707
Q9W1V3 28115706 1 344
Q7KTV5 28115706 1 686
Q9VD51 28115706 1 680
P53297 30982603 571 722
O13828 24862735 1 289
O13828 24862735 553 771
O94752 17984320 1 86
O94752 17984320 231 551
Q09737 24862735 1 750
Q09737 24862735 880 1076
Q9W4I7 29467404 1 228
P16554 29467404 65 203
P05453 29301985 5 250
O62011 30036386 773 1033
P17600 29976799 421 705
Q8N884 29976794 1 146
Q8N884 29976794 161 522
Q15648 29930091 948 1574
O60885 29930091 674 1351
H0WFA5 30086300 621 639
F1R237 30086300 1 2117
P0A9A6 30523075 1 383
P0C093 30523075 1 198
P22363 28680096 92 297
Q8JXF6 28680096 1 450
Q9A749 30197298 451 898
Q07666 27377249 1 197
Q14103 27377249 1 355
O43791 30244836 28 359
Q9UER7 30244836 495 740
P25158-2 30260314 1 468
P08287 30301810 115 225
Q5BI67 25386913 1 1953
A1Z813 25386913 1 415
Q9VNF8 25386913 1 773
P24928 30127355 1593 1960
P04050 30127355 1542 1733 
O60563 29849146 462 654
Q13627 29849146 491 686
P03520 30181255 1 265
P03521 30181255 1 422
P03523 30181255 1 2109
P04156 30401430 23 111
P05067 30401430 672 713
Q500V5 30425322 180 517
Q14781 30514760 1 532
Q02794 29249654 1 78
P38996 30557374 329 404
P38996 30557374 568 793
Q94ET8 27166422 52 291
Q9JIR4 30661983 505 1206
Q9JIR1 30661983 164 231
Q9JIR1 30661983 848 916
Q9JIR1 30661983 952 1019
Q8L3W1 30762296 1 341
Q07352 30449617 1 338
P23771 30833784 105 260
P03372 30833784 79 174
O43781 23415227 1 188
Q92777 29976799 421 582
Q60598 30531905 84 330
O74718 29301985 1 235
P29590-12 17081985 1 585
P78352-3 27565345 306 721
Q9UKV8 29576456 517 818
P00873 27166422 68 80
P00873 27166422 131 144
P78953 31243991 1 452
Q9W4W2 31267711 1 1042
P43243 31019288 1 397
Q54VP4 31217303 146 416
P26368 31271494 27 62
P26368 31271494 149 337
P26368 31271494 385 466
Q14149 31284181 1 400
O65934 31366629 1 310
A0QSY1 31366629 1 340
P35972 31375591 392 525
Q9Y5A9 31292544 1 409
Q9Y5A9 31292544 410 544
Q9BYJ9 31388144 1 388
Q9BYJ9 31388144 389 523
Q7Z739 31388144 1 415
Q7Z739 31388144 416 550
Q9U2F5 31378567 328 434
Q8NE35 31416913 1 698
P35974 31375591 459 507
Q12888 31267591 1203 1972
